2024-10-02 18:20:19 [INFO] - Application Started
2024-10-02 18:20:19 [INFO] - Running 'test' subcommand
2024-10-02 18:20:19 [INFO] - Verbose: no
2024-10-02 18:20:19 [INFO] - Starting tests...
2024-10-02 18:20:19 [INFO] - Test 1 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 20..25, source_change: None, command: None }] | N/A: no_args_from_binary_expr in 209.99ms
2024-10-02 18:20:20 [INFO] - Test 2 | PASSED | FAILED: no_args_from_binary_expr_in_module in 335.13ms
2024-10-02 18:20:20 [INFO] - Test 3 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 16..25, source_change: None, command: None }] | N/A: no_args_from_binary_expr_indented in 355.45ms
2024-10-02 18:20:21 [INFO] - Test 4 | PASSED | PASSED: no_args_from_stmt_with_last_expr in 348.75ms
2024-10-02 18:20:21 [INFO] - Test 5 | PASSED | PASSED: no_args_from_stmt_unit in 364.35ms
2024-10-02 18:20:21 [INFO] - Test 6 | PASSED | PASSED: no_args_if in 373.28ms
2024-10-02 18:20:22 [INFO] - Test 7 | PASSED | PASSED: no_args_if_else in 349.81ms
2024-10-02 18:20:22 [INFO] - Test 8 | PASSED | PASSED: no_args_if_let_else in 350.78ms
2024-10-02 18:20:22 [INFO] - Test 9 | PASSED | PASSED: no_args_match in 329.68ms
2024-10-02 18:20:23 [INFO] - Test 10 | PASSED | PASSED: no_args_while in 356.02ms
2024-10-02 18:20:23 [INFO] - Test 11 | PASSED | PASSED: no_args_for in 341.27ms
2024-10-02 18:20:23 [INFO] - Test 12 | PASSED | PASSED: no_args_from_loop_unit in 373.60ms
2024-10-02 18:20:24 [INFO] - Test 13 | PASSED | PASSED: no_args_from_loop_with_return in 347.94ms
2024-10-02 18:20:24 [INFO] - Test 14 | PASSED | PASSED: no_args_from_match in 354.51ms
2024-10-02 18:20:24 [INFO] - Test 15 | PASSED | PASSED: extract_partial_block_single_line in 365.39ms
2024-10-02 18:20:25 [INFO] - Test 16 | PASSED | PASSED: extract_partial_block in 341.96ms
2024-10-02 18:20:25 [INFO] - Test 17 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_form_expr in 337.30ms
2024-10-02 18:20:26 [INFO] - Test 18 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_used_twice_form_expr in 364.36ms
2024-10-02 18:20:26 [INFO] - Test 19 | PASSED | PASSED: two_arguments_form_expr in 347.47ms
2024-10-02 18:20:26 [INFO] - Test 20 | PASSED | PASSED: argument_and_locals in 343.33ms
2024-10-02 18:20:27 [INFO] - Test 21 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 16..21, source_change: None, command: None }] | N/A: part_of_expr_stmt in 334.69ms
2024-10-02 18:20:27 [INFO] - Test 22 | PASSED | PASSED: function_expr in 369.85ms
2024-10-02 18:20:27 [INFO] - Test 23 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 67..71, source_change: None, command: None }] | N/A: extract_from_nested in 378.06ms
