2024-10-02 22:33:43 [INFO] - Application Started
2024-10-02 22:33:43 [INFO] - Running 'test' subcommand
2024-10-02 22:33:43 [INFO] - Verbose: no
2024-10-02 22:33:43 [INFO] - Starting tests...
2024-10-02 22:33:44 [INFO] - Test 1 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 20..25, source_change: None, command: None }] | N/A: no_args_from_binary_expr in 1.25s
2024-10-02 22:33:45 [INFO] - Test 2 | PASSED | FAILED: no_args_from_binary_expr_in_module in 1.24s
2024-10-02 22:33:47 [INFO] - Test 3 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 16..25, source_change: None, command: None }] | N/A: no_args_from_binary_expr_indented in 1.11s
2024-10-02 22:33:48 [INFO] - Test 4 | PASSED | PASSED: no_args_from_stmt_with_last_expr in 1.12s
2024-10-02 22:33:49 [INFO] - Test 5 | PASSED | PASSED: no_args_from_stmt_unit in 1.18s
2024-10-02 22:33:50 [INFO] - Test 6 | PASSED | PASSED: no_args_if in 1.24s
2024-10-02 22:33:51 [INFO] - Test 7 | PASSED | PASSED: no_args_if_else in 1.21s
2024-10-02 22:33:52 [INFO] - Test 8 | PASSED | PASSED: no_args_if_let_else in 1.18s
2024-10-02 22:33:54 [INFO] - Test 9 | PASSED | PASSED: no_args_match in 1.14s
2024-10-02 22:33:55 [INFO] - Test 10 | PASSED | PASSED: no_args_while in 1.13s
2024-10-02 22:33:56 [INFO] - Test 11 | PASSED | PASSED: no_args_for in 1.16s
2024-10-02 22:33:57 [INFO] - Test 12 | PASSED | PASSED: no_args_from_loop_unit in 1.16s
2024-10-02 22:33:58 [INFO] - Test 13 | PASSED | PASSED: no_args_from_loop_with_return in 1.12s
2024-10-02 22:33:59 [INFO] - Test 14 | PASSED | PASSED: no_args_from_match in 1.12s
2024-10-02 22:34:01 [INFO] - Test 15 | PASSED | PASSED: extract_partial_block_single_line in 1.16s
2024-10-02 22:34:02 [INFO] - Test 16 | PASSED | PASSED: extract_partial_block in 1.21s
2024-10-02 22:34:03 [INFO] - Test 17 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_form_expr in 1.11s
2024-10-02 22:34:04 [INFO] - Test 18 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_used_twice_form_expr in 1.13s
2024-10-02 22:34:05 [INFO] - Test 19 | PASSED | PASSED: two_arguments_form_expr in 1.14s
2024-10-02 22:34:06 [INFO] - Test 20 | PASSED | PASSED: argument_and_locals in 1.13s
2024-10-02 22:34:07 [INFO] - Test 21 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 16..21, source_change: None, command: None }] | N/A: part_of_expr_stmt in 1.15s
2024-10-02 22:34:09 [INFO] - Test 22 | PASSED | PASSED: function_expr in 1.13s
2024-10-02 22:34:10 [INFO] - Test 23 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 67..71, source_change: None, command: None }] | N/A: extract_from_nested in 1.09s
2024-10-02 22:34:11 [INFO] - Test 24 | PASSED | PASSED: param_from_closure in 1.14s
2024-10-02 22:34:12 [INFO] - Test 25 | PASSED | PASSED: extract_return_stmt in 1.16s
2024-10-02 22:34:13 [INFO] - Test 26 | PASSED | PASSED: does_not_add_extra_whitespace in 1.17s
