2024-10-02 22:39:03 [INFO] - Application Started
2024-10-02 22:39:03 [INFO] - Running 'test' subcommand
2024-10-02 22:39:03 [INFO] - Verbose: no
2024-10-02 22:39:03 [INFO] - Starting tests...
2024-10-02 22:39:04 [INFO] - Test 1 | PASSED | FAILED: no_args_from_binary_expr in 1.28s
2024-10-02 22:39:06 [INFO] - Test 2 | PASSED | FAILED: no_args_from_binary_expr_in_module in 1.22s
2024-10-02 22:39:07 [INFO] - Test 3 | PASSED | FAILED: no_args_from_binary_expr_indented in 1.21s
2024-10-02 22:39:08 [INFO] - Test 4 | PASSED | FAILED: no_args_from_stmt_with_last_expr in 1.24s
2024-10-02 22:39:09 [INFO] - Test 5 | PASSED | FAILED: no_args_from_stmt_unit in 1.21s
2024-10-02 22:39:10 [INFO] - Test 6 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: no_args_if in 1.17s
2024-10-02 22:39:12 [INFO] - Test 7 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 23..47, source_change: None, command: None }] | N/A: no_args_if_else in 1.16s
2024-10-02 22:39:13 [INFO] - Test 8 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 23..59, source_change: None, command: None }] | N/A: no_args_if_let_else in 1.21s
2024-10-02 22:39:14 [INFO] - Test 9 | PASSED | PASSED: no_args_match in 1.25s
2024-10-02 22:39:15 [INFO] - Test 10 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: no_args_while in 1.18s
2024-10-02 22:39:16 [INFO] - Test 11 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: no_args_for in 1.20s
2024-10-02 22:39:18 [INFO] - Test 12 | PASSED | PASSED: no_args_from_loop_unit in 1.22s
2024-10-02 22:39:19 [INFO] - Test 13 | PASSED | FAILED: no_args_from_loop_with_return in 1.31s
2024-10-02 22:39:20 [INFO] - Test 14 | PASSED | FAILED: no_args_from_match in 1.26s
2024-10-02 22:39:22 [INFO] - Test 15 | PASSED | PASSED: extract_partial_block_single_line in 1.30s
2024-10-02 22:39:23 [INFO] - Test 16 | PASSED | PASSED: extract_partial_block in 1.49s
2024-10-02 22:39:25 [INFO] - Test 17 | PASSED | FAILED: argument_form_expr in 1.89s
2024-10-02 22:39:28 [INFO] - Test 18 | PASSED | FAILED: argument_used_twice_form_expr in 3.22s
2024-10-02 22:39:32 [INFO] - Test 19 | PASSED | FAILED: two_arguments_form_expr in 3.45s
2024-10-02 22:39:34 [INFO] - Test 20 | PASSED | FAILED: argument_and_locals in 1.93s
2024-10-02 22:39:35 [INFO] - Test 21 | PASSED | FAILED: part_of_expr_stmt in 1.41s
2024-10-02 22:39:37 [INFO] - Test 22 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: function_expr in 2.14s
2024-10-02 22:39:41 [INFO] - Test 23 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 67..71, source_change: None, command: None }] | N/A: extract_from_nested in 3.44s
2024-10-02 22:39:43 [INFO] - Test 24 | PASSED | FAILED: param_from_closure in 1.92s
2024-10-02 22:39:45 [INFO] - Test 25 | PASSED | FAILED: extract_return_stmt in 2.07s
2024-10-02 22:39:47 [INFO] - Test 26 | PASSED | FAILED: does_not_add_extra_whitespace in 2.26s
2024-10-02 22:39:51 [INFO] - Test 27 | PASSED | FAILED: break_stmt in 3.48s
