2024-10-03 00:58:00 [INFO] - Application Started
2024-10-03 00:58:00 [INFO] - Running 'test' subcommand
2024-10-03 00:58:00 [INFO] - Verbose: yes
2024-10-03 00:58:00 [INFO] - Starting tests...
2024-10-03 00:58:01 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.20s
2024-10-03 00:58:02 [INFO] - Test 2 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_form_expr in 1.27s
2024-10-03 00:58:04 [INFO] - Test 3 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_used_twice_form_expr in 1.39s
2024-10-03 00:58:05 [INFO] - Test 4 | PASSED | PASSED: break_from_nested_and_outer_loops in 1.32s
2024-10-03 00:58:06 [INFO] - Test 5 | PASSED | PASSED: break_from_nested_loop in 1.35s
2024-10-03 00:58:08 [INFO] - Test 6 | PASSED | PASSED: break_loop in 1.33s
2024-10-03 00:58:09 [INFO] - Test 7 | PASSED | PASSED: break_loop_nested in 1.30s
2024-10-03 00:58:10 [INFO] - Test 8 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: break_loop_nested_labeled in 1.34s
2024-10-03 00:58:11 [INFO] - Test 9 | PASSED | PASSED: break_loop_with_if in 1.17s
2024-10-03 00:58:13 [INFO] - Test 10 | PASSED | PASSED: break_stmt in 1.20s
2024-10-03 00:58:14 [INFO] - Test 11 | PASSED | PASSED: break_with_value in 1.25s
2024-10-03 00:58:15 [INFO] - Test 12 | PASSED | PASSED: break_with_value_and_label in 1.16s
2024-10-03 00:58:16 [INFO] - Test 13 | PASSED | FAILED: break_with_value_and_return in 1.24s
2024-10-03 00:58:17 [INFO] - Test 14 | PASSED | FAILED: closure_arguments in 1.15s
2024-10-03 00:58:19 [INFO] - Test 15 | PASSED | FAILED: comments_in_block_expr in 1.26s
2024-10-03 00:58:20 [INFO] - Test 16 | PASSED | FAILED: continue_loop_nested_labeled in 1.22s
