2024-10-11 02:20:50 [INFO] - Application Started
2024-10-11 02:20:50 [INFO] - Running 'test' subcommand
2024-10-11 02:20:50 [INFO] - Verbose: yes
2024-10-11 02:20:50 [INFO] - Starting tests...
2024-10-11 02:20:51 [INFO] - Test 1 | PASSED | PASSED | PASSED: argument_and_locals in 1.29s
2024-10-11 02:20:53 [INFO] - Test 2 | PASSED | PASSED | PASSED: argument_form_expr in 1.18s
2024-10-11 02:20:54 [INFO] - Test 3 | PASSED | PASSED | PASSED: argument_used_twice_form_expr in 1.27s
2024-10-11 02:20:56 [INFO] - Test 4 | PASSED | PASSED | PASSED: break_from_nested_and_outer_loops in 1.24s
2024-10-11 02:20:57 [INFO] - Test 5 | PASSED | PASSED | PASSED: break_from_nested_loop in 1.28s
2024-10-11 02:20:58 [INFO] - Test 6 | PASSED | PASSED | PASSED: break_loop in 1.20s
2024-10-11 02:21:00 [INFO] - Test 7 | PASSED | PASSED | PASSED: break_loop_nested in 1.30s
2024-10-11 02:21:02 [INFO] - Test 8 | PASSED | PASSED | PASSED: break_loop_nested_labeled in 1.31s
2024-10-11 02:21:03 [INFO] - Test 9 | PASSED | PASSED | PASSED: break_loop_with_if in 1.25s
2024-10-11 02:21:04 [INFO] - Test 10 | PASSED | PASSED | FAILED: break_stmt in 1.21s
2024-10-11 02:21:06 [INFO] - Test 11 | PASSED | PASSED | PASSED: break_with_value in 1.31s
2024-10-11 02:21:07 [INFO] - Test 12 | PASSED | PASSED | PASSED: break_with_value_and_label in 1.24s
2024-10-11 02:21:09 [INFO] - Test 13 | PASSED | PASSED | PASSED: break_with_value_and_return in 1.16s
2024-10-11 02:21:10 [INFO] - Test 14 | PASSED | PASSED | PASSED: closure_arguments in 1.34s
2024-10-11 02:21:12 [INFO] - Test 15 | PASSED | PASSED | PASSED: comments_in_block_expr in 1.33s
2024-10-11 02:21:13 [INFO] - Test 16 | PASSED | PASSED | PASSED: continue_loop_nested_labeled in 1.38s
2024-10-11 02:21:15 [INFO] - Test 17 | PASSED | FAILED | PASSED: copy_custom_used_after in 1.20s
2024-10-11 02:21:16 [INFO] - Test 18 | PASSED | FAILED | PASSED: copy_used_after in 1.24s
2024-10-11 02:21:18 [INFO] - Test 19 | PASSED | PASSED | PASSED: does_not_add_extra_whitespace in 1.50s
