2024-09-20 13:10:20 [INFO] - Application Started
2024-09-20 13:10:20 [INFO] - Running 'test' subcommand
2024-09-20 13:10:20 [INFO] - Verbose: no
2024-09-20 13:10:20 [INFO] - Starting tests...
2024-09-20 13:10:20 [INFO] - Test 1 | FAILED: Invalid line range | N/A: no_args_from_binary_expr in 6.48ms
2024-09-20 13:10:20 [INFO] - Test 2 | FAILED: Invalid line range | N/A: no_args_from_binary_expr_in_module in 5.37ms
2024-09-20 13:10:20 [INFO] - Test 3 | FAILED: Invalid line range | N/A: no_args_from_binary_expr_indented in 1.26ms
2024-09-20 13:10:20 [INFO] - Test 4 | FAILED: Invalid line range | N/A: no_args_from_stmt_with_last_expr in 6.30ms
2024-09-20 13:10:20 [INFO] - Test 5 | PASSED | FAILED: no_args_from_stmt_unit in 116.95ms
2024-09-20 13:10:20 [INFO] - Test 6 | FAILED: Invalid line range | N/A: no_args_if in 5.08ms
2024-09-20 13:10:20 [INFO] - Test 7 | FAILED: Invalid line range | N/A: no_args_if_else in 6.50ms
2024-09-20 13:10:20 [INFO] - Test 8 | FAILED: Invalid line range | N/A: no_args_if_let_else in 6.48ms
2024-09-20 13:10:20 [INFO] - Test 9 | FAILED: Invalid line range | N/A: no_args_match in 6.17ms
2024-09-20 13:10:20 [INFO] - Test 10 | FAILED: Invalid line range | N/A: no_args_while in 6.23ms
2024-09-20 13:10:20 [INFO] - Test 11 | FAILED: Invalid line range | N/A: no_args_for in 6.61ms
2024-09-20 13:10:20 [INFO] - Test 12 | FAILED: Invalid line range | N/A: no_args_from_loop_unit in 6.04ms
2024-09-20 13:10:20 [INFO] - Test 13 | FAILED: Invalid line range | N/A: no_args_from_loop_with_return in 7.83ms
2024-09-20 13:10:20 [INFO] - Test 14 | FAILED: Invalid line range | N/A: no_args_from_match in 6.91ms
2024-09-20 13:10:20 [INFO] - Test 15 | FAILED: Invalid line range | N/A: extract_partial_block_single_line in 7.02ms
2024-09-20 13:10:20 [INFO] - Test 16 | PASSED | FAILED: extract_partial_block in 71.70ms
2024-09-20 13:10:20 [INFO] - Test 17 | FAILED: Invalid line range | N/A: argument_form_expr in 7.11ms
2024-09-20 13:10:20 [INFO] - Test 18 | FAILED: Invalid line range | N/A: argument_used_twice_form_expr in 7.28ms
2024-09-20 13:10:20 [INFO] - Test 19 | FAILED: Invalid line range | N/A: two_arguments_form_expr in 5.68ms
2024-09-20 13:10:20 [INFO] - Test 20 | FAILED: Invalid line range | N/A: argument_and_locals in 1.66ms
2024-09-20 13:10:20 [INFO] - Test 21 | FAILED: Invalid line range | N/A: part_of_expr_stmt in 1.54ms
2024-09-20 13:10:21 [INFO] - Test 22 | FAILED: Invalid line range | N/A: function_expr in 6.44ms
2024-09-20 13:10:21 [INFO] - Test 23 | FAILED: Parse error: expected `,` | N/A: extract_from_nested in 6.32ms
2024-09-20 13:10:21 [INFO] - Test 24 | FAILED: Invalid line range | N/A: param_from_closure in 2.29ms
2024-09-20 13:10:21 [INFO] - Test 25 | FAILED: Invalid line range | N/A: extract_return_stmt in 7.93ms
2024-09-20 13:10:21 [INFO] - Test 26 | FAILED: Invalid line range | N/A: does_not_add_extra_whitespace in 8.69ms
2024-09-20 13:10:21 [INFO] - Test 27 | FAILED: Invalid line range | N/A: break_stmt in 6.07ms
2024-09-20 13:10:21 [INFO] - Test 28 | FAILED: Invalid line range | N/A: extract_cast in 6.36ms
2024-09-20 13:10:21 [INFO] - Test 29 | FAILED: Invalid line range | N/A: method_to_freestanding in 5.85ms
2024-09-20 13:10:21 [INFO] - Test 30 | FAILED: Parse error: expected one of: `fn`, `extern`, `use`, `static`, `const`, `unsafe`, `mod`, `type`, `struct`, `enum`, `union`, `trait`, `auto`, `impl`, `default`, `macro`, identifier, `self`, `super`, `crate`, `::` | N/A: method_with_reference in 6.42ms
2024-09-20 13:10:21 [INFO] - Test 31 | FAILED: Parse error: expected one of: `fn`, `extern`, `use`, `static`, `const`, `unsafe`, `mod`, `type`, `struct`, `enum`, `union`, `trait`, `auto`, `impl`, `default`, `macro`, identifier, `self`, `super`, `crate`, `::` | N/A: method_with_mut in 6.16ms
2024-09-20 13:10:21 [INFO] - Test 32 | FAILED: Invalid line range | N/A: variable_defined_inside_and_used_after_no_ret in 6.33ms
2024-09-20 13:10:21 [INFO] - Test 33 | FAILED: Invalid line range | N/A: variable_defined_inside_and_used_after_mutably_no_ret in 6.86ms
2024-09-20 13:10:21 [INFO] - Test 34 | PASSED | FAILED: two_variables_defined_inside_and_used_after_no_ret in 89.22ms
2024-09-20 13:10:21 [INFO] - Test 35 | PASSED | FAILED: multi_variables_defined_inside_and_used_after_mutably_no_ret in 88.53ms
2024-09-20 13:10:21 [INFO] - Test 36 | FAILED: Invalid line range | N/A: nontrivial_patterns_define_variables in 5.63ms
2024-09-20 13:10:21 [INFO] - Test 37 | FAILED: Parse error: expected one of: `fn`, `extern`, `use`, `static`, `const`, `unsafe`, `mod`, `type`, `struct`, `enum`, `union`, `trait`, `auto`, `impl`, `default`, `macro`, identifier, `self`, `super`, `crate`, `::` | N/A: struct_with_two_fields_pattern_define_variables in 5.53ms
